id,set,score,text
5312,3,1,pandas are similar to koalas because both eat leaves almost exclusively they're different to pythons because pythons eat anything according to the text ''a python swallowed an alligator '' in other words pandas and koalas are not something to really worry about unlike pythons
5313,3,1,the way the chinease panda and the australian koalas are alike is because they only eat one sorce of food pandas only eat bamboo and koalas only eat eucalyptus leaves on the other hand pythons eats mostly anything and everything it can
5315,3,1,well because china panda they don't eat almost nothing just bamboo and koala just eat eucalyptus so that is a food that they can jus find in their own ecosistem but in the case of the pythons they can eat almos everything like rats cows chicks eggs etc
5316,3,1,pandas in china are different from australia's koala bear because of what they eat as the article says china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves they are both harmful though pythons are different because they eat other animals
5317,3,1,china's pandas and australian koalas are similar it that they are both specialists the pandas and koala eat almost nothing but bamboo arole eucalyptus respectively unlike pythons which are generalists pythons can adapt to a wide variety of habitats and fond sounds
5318,3,1,in the article it is stated that python is a generalist species while a panda or a koala is a specialist what this means is that specialists clearly need an environment that they have fully developed too so they can survive the need for bamboo and eucalyptus leaves whereas pythons can survive anywhere as long as there is some temp influence on them and that is the difference
5319,3,1,pandas in china and koalas in australia are both harmless a specialist is china pandas which eat almost nothing but bamboo or australia koala bear wich eats eucalyptus leaves almost exclusively but python is dangerous a python swallowed in alligator and there's not a deinate way to put it explosed
5320,3,0,pandas and koalas are similar because they live in a hot enviorment they both only eat one thing panda eats bambo and a koala eats eucalyptus they are both different from pythons because you can use them as pets but a panda and a koala you can't because they are almost extinct
5321,3,0,the pandas and the koalas are similar because they are both animals that are forcing and that are harmless unlike the python which is a deadly venerous snake the panda and koalas are left alone in there habitats while the viable snakes python are brought to the u s in the story it says how the panda only eats bamboo and the koala eats eucalyptus leaves meaning they are herbavores
5322,3,1,pandas in china are similar to koalas in astralia because they are both specialists that eat only one type of food china's panda which eats almost nothing but bamboo they are different from a python is a generalist
5323,3,1,pandas and koalas are similar because they eat bamboo bamboos panda and eucalyptus leaves koala they are both different from pythons because they are not vicious and attacking creatures they are gentle whereas a python is vicious and fierce looking always ready to attack a python can even eat an alligator
5324,3,1,pandas in china are similar to koalas in australia because they are both part of the specialist species a panda eats almost nothing but bamboo and a koala eats almost nothing but eucalyptus leaves because of this they differ from pythons which are part of the generalist species pythons can live in many places and they do well around humans
5325,3,1,pandas in china are similar to koalas in australia because they are both specialists like it says in the article china's panda eats almost nothing but bamboo and australia's koala bear eats eucalyptus leaves these both are different from pythons because like the article says pythons are a generalist
5326,3,1,pandas tend to eat nothing but bamboo they relate to koalas in australia because koalas eat one specific food exclusively as well eucalyptus pandas and koalas are both different from pythons because they are more prone to survive in almost any climate while pandas live specifically in china and koalas in australia pythons are more abundant
5327,3,1,china's panda eats almost nothing but bamboo the koala eats eucalyptus leaves they both don't eat meat pythons eat almost anything a python swallowed an alligator as said in the article pandas and koalas eat plants and pythons can eat anything
5328,3,2,as stated in the story koalas and pandas are specialist species or species that can only live in one area because their main source of food can only be found there they differ from pythons because pythons could live in a range of areas and still be able to hunt for food
5329,3,2,the pandas and the koala bear are alike because they aren't eating people or other animals pandas eat bamboo and koalas eat eucalyptus leaves they are also alike because they are specialist pandas and koalas are different from pythons because a python is a generalist and pythons are viewed as a threat to society they are dangerous and eat other animals and possibly humans
5330,3,2,pandas and koalas are similar to pandather because the are exclusive to their habitats pandas only live in china because of the bamboo and koalas line in australia because they only eat the eucalyptus leaves both are different from pythons because pythons can adapted to different enviornments and food an example would be how the pythons were introduced to florida
5331,3,1,pandas in china and koalas in australia are similar in many ways like it states in the passage china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively meaning that the two animals can live off eating one thing they are different from pythons because unlike pythons pandas and koala bears are not household pets
5332,3,1,pandas and koalas are the same because they're both specialists each of them eats almost nothing but bamboo or eucalyptus leaves which is also what makes them specialists as stated in paragraph 21
5333,3,1,koalas and pandas are similar because they both only eat one type of food which is native to were they live but pythons can adapt to different food sources making it easier for them to find food and survive
5334,3,1,pandas in china are similar to koala's in australia because they both eat one specific food that their habitat has on the story it said pandas eat bamboo while koala's eat eucalyptus leaves they are both different from pythons because pythons can't eat only one thing and they are generalists
5335,3,2,panda's and koalas are surprisingly similar species this is because they're specialist they are limited to a particular region of the world because of their diet while pythons are different because they're generalist they can exist in a variety of environments because they can adapt what favors generalists is change what favors specialists is stability achenbanch5 in conclusion pandas and koalas differ from pythons
5336,3,1,pandas in china and koalas in australia are similar because they are both specialist species they eat almost exclusively one food they are different from a python which is a generalist and eats more than one type of food
5337,3,2,pandas in china are similar to koala in australia because they both only eat food type of food in their natural habitat they are both different from pythons because pythons just need to have the right climate to survive and they will adapt to the different food for example pandas only eat bamboo but a python will eat anything
5338,3,0,pandas in china are similar to koalas in australia because they are specialists as they are different from the python because the python is a generalists there are more pythons because the word today favors generalists rather than specialists says one sentence in the article
5339,3,1,from reading this article i can say pandas in china are much like koalas in austrailia because both animals eat mainly one food pandas like to eat mainly bamboo and koalas like to eat mainly eucalyptus leaves this quality puts both animals in the catagory of specialists this differs from python because pythons are generalist the article says generalists are human beings that live anywhere from florida to antarctica to outer space unlike pandas and koalas
5340,3,1,pandas in china are similar to koalas in australia because they both need specific foods and substances to survive i know this because the author says ''a specialist is china's panda wich eats almost nothing but bamboo or australia's koala bear wich eats eucalyptus leaves almost exclusively '' unlike a panda and koala pythons have more options for food ''you could conceivably have pythons snalking their way up the potomac obviasly they differ a lot from pandas and koala
5341,3,2,pandas in china and koalas bears in australia are similar in that they are both specialist species this means they are restricted to limited environments and only eat one type of food as a result these animals are less capable of adapting a python however is much more flexible it is a generalist species better suited for survival it is different also because it can live in different climates and eats different things
5342,3,1,pandas in china and koalas in australia are both specialist species therefore rely on stable environments in order to survive pythons however are a generalist species which means as the article stated that they can survive in numerous conditions with the help of adaptation
5343,3,1,pandas in china are similar to koalas in australia because they both eat from some type of plant in the article it says that pandas eat almost nothing but bamboo and koalas in australia eat eucalyptus leaves and these both are produced by a plant they differ from pythons because they won't adapt as well to a different habitat like a python would pythons are like humans and can live almost anywhare where as a panda or koala bear couldn't
5344,3,1,unlike pandas who eat mostly bamboo and koalas who eat only eucalyptus leaves pythons eat just about anything and everything so if pythons become more common there will be more endangered species because of the reptile
5345,3,1,pandas in china are similar to koala bears in australia both are a native species and also both eat something in specific such as a panda eating bamboo or koala bear eating eucalyptus leaves but they are different because of the pythons spread across the remain in their country
5346,3,1,pandas in china are very similar to koalas both are very different from pythons with the assistance of technology can live anywhere koalas can only live with eucalyptus plants pandas can only live with bamboo however pythons can thrive on small vermin and can easily get by in the warmer climates in the everglades
5347,3,1,pandas in china and koalas in australia are both different from pythons because they are both specialists specialists can only adapt to an area if the climate is right and they only survive off mainly bamboo or eucalyptus leaves according the article a generalist such as a python can live anywhere and have become a abundant and do best in and around humans
5348,3,1,china's panda and australia's koala bear are both specialists they are both similar because they eat plants and are harmless the python however is a generalist it eats rodents and is capable of killing or harming humans a python even swallowed an alligator while pandas eat bamboo and koalas eat eucalyptus leaves
5349,3,1,pandas in china and koalas are similar because they eat only one plant the article states that pandas eat almost nothing but bamboo and koalas eat eucalyptus leaves almost exclusively they are different from pythons because pythons are dangerous and eat animals one python swallowed an aligator pythons are carnivores while pandas and koalas are herbivores
5350,3,1,pythons can adapt to many diverse climates but pandas and koalas can only live in china and australia due to the plants they eat
5351,3,2,according to the article panda's and koala's have a very simple diet in paragraph 21 the author explains that pandas eat almost nothing but bamboo and koala bears only eat eucalyptus leaves they are different from the python because pythons eat an assessment of different animals paragraph 14 said it ate an alligator
5352,3,2,the similarity between pandas in china and koalas in australia is that they are a specialists they for example only eat a certain type of food while generalists adapt and can eat multiple types of food both of these animals are different to pythons is because they can not live without bamboo or eucalyptus leaves while pythons can eat anything
5353,3,0,pandas in china are similar to koalas in australia because the both stick to one source to eat pandas which eats bamboo and koalas which eats eucalyptus leaves they are different from pythons because as macinnes the reptile pet rate doubled in a decade but pandas and koalas are wildlife animals and can't be turned into pets
5354,3,1,pandas in china are similar to koalas in australia because they're both specialists pythons are generalists pandas and koalas eat only one thing meanwhile pythons have a variety of things to eat from
5355,3,1,china's panda bears and australian koala bears are similar because they are not really a part of the food chain pandas just eat bamboo while koalas eat eucalyptus leaves they are different from pythons because pythons will eat whatever they can find weather its a rat a bird or even a crocidile pythons are able to alter an ecosystem
5356,3,1,pandas in china are similar to koalas in australia because they are both specialist the article states a specialist is china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively which shows they won't last long because once their food is gone they will have nothing left to eat but a python is a generalist and can adapt and last longer
5357,3,0,they are different because they live in different enviornments pythons are reptiles but a panda and koala are not and they wouldn't eat other reptiles
5358,3,2,pandas and koalas are both specialists their food source is only found in their home place so adapting to other places would be extremely hard pythons on the other hand can adapt to anywhere because they can eat a lot of different things they have been adapting to the u s
5359,3,2,pandas in china eat only bamboo and koalas feed exclusively on eucalyptus trees in australia both are specialists because they can only survive on one type of food pythons are generalists in contrast because they can adapt to different food sources depending on their environment the panda and koala are specialists while the pythons are generalists
5360,3,1,panda bears from china and australia's koala bears are similar because they both eat only things that are found in their area panda bears eats only bamboo and the koala bear only eats eucalyptus leaves they are different from pythons because of their eating habbits pythons will eat anything such as an alligator while the panda and koala bears will not anything else
5361,3,0,they are alike because koala and panda eat plants the python's eat meat and are generalists not specialists
5362,3,0,this similarity between the pandas and koalas is very simple they're both peacefull also they can both climb trees on the other hand a python is different if it fierce and dangerous if let out it can cause harm to people and animals
5363,3,1,like it said in the story panda and koalas they eat certain types of food such as bamboo and eucalyptus leaves pytons they can eat meat and even there own kind so they can live pretty much anywhere
5364,3,1,pandas in china are similar to koalas in australia because they both almost always eat the same thing in the article it says chinas panda which eats almost nothing but bamboo australia's koala eats eucalyptus leaves almost exclusively they differ from pythons because
5365,3,1,pandas and koalas are similar because they both live in specific areas pandas need what is provided in china and koalas need what is in australia pythons differ however because they can adapt anywhere with similar climats for example asia and the us
5366,3,2,the pandas in china and the koalas in australia are both similar the pandas eat almost nothing but bamboo and the koalas eat nothing but eucalyptus leaves they are similar because of the fact that they both eat only one type of food they are different from a python because a python eats alot of things one python was caught eating an alligator and a key largo wood rat
5367,3,0,pandas in china are similar to koalas in australia because they are both specialists but they are both not similar to pythons because pythons are generalists according to the author a generalist is a python a specialist is china's panda or australia's koala bears in other words pandas and koalas are both specialists but pythons are generalists
5368,3,1,pandas and koalas are similar because they are both specialist animals meaning they can only live in the habitat they already reside in china and australia they are different then pythons because pythons can live almost anywhere
5369,3,1,pandas and koalas are similar because the both eat mainly on thing which is stated in paragraph 21 pandas eat bamboo and koalas eat eucalyptus leaves they both are different from pythons because pythons eat anything and is also cold blooded
5370,3,1,they way pandas in china to koalas in australia is that they both herbavors that eat plants and not meat they the way they both are different than pythons is that pythons can and have easily adapted somewhere else and have turned into carnivors
5372,3,1,pandas and koalas are similar because they eat only a specific plant and their not meat eaters their different from pythons because pythons eat meat not leaves i know this because to the story it said panda bear eat bamboo and koalas eat eucalyptus leaves
5373,3,1,pandas in china are similar to koalas in australia because they are both specialists species they are also similar because they only eat one kind of specific food
5374,3,1,koalas and pandas are both specialists and they eat nothing but one thing and they wouldn't be able to adapt anywhere else unlike koalas and pandas the python can adapt to almost anywhere like a human a human breing who with the assistance of technology can live anywhere from florida to antarctica to outerspace a snake is a generalist just like a human
5375,3,2,both pandas and koalas are extreme specialists the panda can only eat bamboo and the koala can only eat eucalyptus leaves this means that they can not live in a lot of places this is different from a python a python is a generalist there fore it can survive in a variety of places it has several food sources such as the key largo wild rat or even alligators pythons can live in many places but koala and panda have special needs
5376,3,1,pandas are similar from koalas in australia because na china specialist states that china's pandas eat bamboo and australia's koalas eat eucalyptus leaves both eat a plant leaf they are both different from a python because a python can live where ever and pandas and koalas can't without assistance
5377,3,1,panda bears and koala bears are similar because they only eat one food source while pythons are mammals and eat any kind of meat that they can outlook
5378,3,1,pandas in china are similar to koalas in australia by not eating meat including humans according to the author china's panda which eats almost nothing but bamboo koala bear which eats eucalyptus leaves in other words they're different from pythons because they only eat thing from the earth
5379,3,1,pandas in china and koalas in australia are similar because thy almost only eat one food they differ from pythons because pythons eat meat like alligators and pandas and koalas eat leaves trees
5380,3,0,panda in china are similar to koalas because they both are specialist this means according to the article there the most abundant and often do best around humans they also have one main food source bamboo panda eucalyptus leaves koala they're both different from pythons because pythons are less supported making them a generalist
5381,3,1,the way that pandas and koalas are alike is that they typically tend to eat one type of food p andas like to and always eats bamboo for there 1 thing to eat koalas always eats eucalyptus leaves for there food the any pandas and koalas are different from pythons are that pandas and koalas are vegaterians while pythons are carnivorous and only eat meat
5382,3,2,both pandas and koalas eat only one thing pandas only eat bamboo and koalas only eat eucalyptus leaves pythons would probably eat any animal that it sees an example from the article is ''in the everglades in 2005 a python swallowed an alligator''
5383,3,1,the article states that both pandas in china and koalas in africa are similar they are both specialists however the article also states that pythons are generalist and can pretty much live anywhere in the world pandas and koalas need specific food and a specific climate in order to survive
5384,3,1,pandas in china are similar to koalas in australia because they need to stay in one area to survive in paragraph 21 it says a specialist is china's panda which eats almost nothing but bamboo pg 5 a python however can travel to most places not needing one specific environment
5385,3,2,pandas in china are similar to koalas in australia because they are both specialists but both are different from pythons because they are generalists pandas and koalas rely exclusively on only one food source to survive pandas eat bamboo and koalas eat eucalyptus pythons can survive in region that have climate conditions similar than those of their homeland
5386,3,1,pandas in china are different are similar to koalas but different than pythons because they are considered specialists the article states that a python is a generalist and is similar to a raccon cock roach or white talled deer generalists are things that can live anywhere
5387,3,0,pandas and koalas are similar by they both get along around people for example the article says species that have become most abundant are often those that do best in and around humans unlike pythons the panda and koala are in abundants so they do the best in and around people
5388,3,1,pandas and koalas in australia are similar is that they are both stable in paragraph 24 it says ''what favors specialist is stability '' this show show they are both stable they are different from pythons because pythons are not stable don't just eat bamboo or eucalyptus this is how they are alike and different
5389,3,1,pandas and koalas are very similar they both have a strict diet pandas only eat bamboo and koalas only eat eucalyptus leaves in the way they are different to pythons pandas and koalas cannot survive in the us because of their diet but pythons will eat most small medium creatures
5390,3,0,even though pandas live in china and eat almost nothing but bamboo and koalas live in australia and eat almost nothing but eucalyptus leaves they both have a major similarity they are both specialists a python is also a specialist giving these 3 animals something in common
5391,3,2,pandas in china are similar to koalas in australia because they both are considered a specialist species meaning they are only found in one area and eat rarely anything else but one thing they are different from the python because it is a generalist species one that can be found in a variety of places and eats many different things
5392,3,1,china's panda's eat bamboo and koalas in australia eat eucalyptus leaves which are both plants these specialists species are different from pythons which are generalists because they cannot survive anywhere in the world these specialist need their warm climates while generalists can adapt
5393,3,1,pandas and koala bears are similar because they both are a specialists species they are both different from pythons because a python is a generalist species so it eats a wide variety of things while the panda and koala are specialists species because it generally eats one specific object
5394,3,0,the panda eats only bamboo the koala eat eucalyptus but the python however doesn't eat anything america needs in fact the comparison is nothing alike the panda and koalas eat resources people need the python doesn't eat anything that is needed
5395,3,1,pandas in china are similar to koalas in australia because they are both specialist they live in one certain place and eat one certain thing on the other hand pandas are diffrent from pythons because pythons are a generalist species and can live almost half the us and eat almost anything
5396,3,1,pandas in china are similar to koalas in australia because they both eat specific foods in paragraph 21 it states a specialist is china's panda which eat nothing but bamboo or australia's koala bear which exclusively eats eucalyptus while pythons do not have a specific diet and therefore are not restricted to one area of the works
5397,3,1,as the article states a python is considered to be a generalist having the power to live with technological assistance where as a panda or australia's koala are contrasted in the specialist category they feed off of local plants and revolve a round them making it difficult impossible to be abundant elsewhere like the python
5398,3,0,koalas always eat eucalyptus leaves and a panda always eat bamboo they both are different from pythons because pythons are carnivores and pandas koalas aren't
5400,3,1,panda's and koala's are alike eachother and different than python's by one major thing it said in the article a specialist is china's panda which almost eats nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively this one thing is their diets
5401,3,1,pandas and koala's eats depend on one food source panda's depends on bamboo koalas on eucalyptus they are much different than python reason being is that pythons will eat anything that is meat
5402,3,1,pandas in china are similar to koalas in australia because they both eat nothing but plants not other animals meanwhile there are pythons exploding because they try to eat alligators these harbivors pandas and koalas are different from pythons because pythons eat animals and the panda and koala don't
5403,3,1,panda's in china are similar to koalas in australia because they are both specialists they rely on one specific thing to live which is their food they need stability to live pythons are different fro pandas and koala's because they are generalists they rely on change to survive
5404,3,1,china's panda and australia's koala are specialist and only really eat one type of food pythons are generalists and have a diet of many different things the age we live in today favours generalists like the python
5405,3,1,pandas and koalas are similar because they both only eat one type of plant bamboo for pandas and eucalyptus leaves for koalas they are both different from pythons because pythons have a variety of food where ever they go while pandas and koalas can only only live in certain areas that grow these plants
5406,3,2,pandas and koalas are both two specialists species the panda constantly eats bamboo mainly found in china and koala's foods mainly consist of eucalyptus leaves therefore these two animals can only survive in these regions that fufill they're eating habbits these two animals are different from pythons because based on the article pythons are capable of adjusting to their environments like they did after huricane andrew destroyed their homes
5407,3,0,the pandas in china are similar to koalas in australia because their both mamals they both are diffirent from pythons because china's panda eats nothing but bamboo and the australia's koala bear eats nothing but eucalyptus leaves almost exclusively
5408,3,1,the pandas in china and koalas in australia are similer in the wcer that they both eat basically one thing for food unlike pythons that eat a variety of animals rather than a specific plant
5409,3,1,pandas in china care very similar to koalas in australia they're both a species of specialist the article says that the pandas and koalas both eat exclusively they pretty much live off one thing what the different from pythons because pythons can live off a wide variety of things like alligators to rats
5410,3,2,a panda in china is similar to a koala in australia because they are both specialists a panda eats nothing but bamboo and an australian koala only eats eucalyptus leaves neither of them could survive where their food isn't supplied they both differ from pythons because a phython is a generalist who can live in at least one third of the united states a python doesn't just have to live in one location
5411,3,1,the relationship is that the panda koala eat differently when the pythons panda eats bamboo koala bear eats eucalyptus also change favors the generalist the python stability favors the specialist panda koala
5412,3,0,pandas in china are similar to koalas in australia by being one of the few animals less favored on earth how according the experiment that was tested pythons are one of the few animals most favored on earth
5413,3,0,pandas and koalas are similar because they both eat plants wich makes them different to pythons pythons eat other animals and live in hot weather
5414,3,1,china's panda eats bamboo and almost nothing else australia's koala exclusively eats eucalyptus leaves they are both different from the python because they are are carnivores and the koala and panda are herbivores also people keep pythons as pets but pandas and koalas are not in the text it says pythons are generalists and koalas and pandas are specialists
5415,3,1,pandas in china are similar to koala bears because pandas eat nothing but bamboo and koalas eat eucalyptus leaves so the author states in paragraph 21 pandas and koala bear are different from pythons because they don't eat anything unlike pythons on the other hand they eat alligators 13 15 also the python likes warm areas so adapting to china they would die
5416,3,1,the china's panda and australia's koala are simillar because they do not eat meat but they eat want cames out from the general the are different from pythons because mostly the python would prefer to eat meat and not leave or bamboo
5417,3,1,pandas and koalas are similar because they only stay in one places and they eat plants also they are specialists while pythons are generalists so the pythons eat meat and moves around different areas of the world
5418,3,0,china's panda is similar to australia's koala because they both eat specific food bamboo eucalyptus leaves the panda and the koala are different from the python because the python can eat meat for example when the python swallowed an alligator in 2005
5419,3,2,pandas in china and koalas in australia are similar in that they are specialist species as it says in the article pandas eat almost exclusively bamboo and live only in china and koalas eat almost exclusively eucalyptus leaves and live only in australia these are both different from pythons generalist species because pythons eat from different foods and can live in many different places or climate with a certain range of conditions
5420,3,0,in the article the author says that koalas and pandas are both specialists they are different from pythons because the story says that pythons are generalists
5421,3,0,pandas in china are similar to koalas in australia because they both basically eat some type of leaf and they're different from pythons because pythons don't really eat leaves
5422,3,0,both china pandas and australia's koalas are similar because they harmful and require less work a specialist is china's panda which eats almost nothing but bamboo which eats eats eucalyptus leaves almost exclusively this shows they require little effort to have while pythons are dangerous and cost all this money like memory chip and a permit
5423,3,2,pandas from china and koala from australia are very similar in the sense that they are both specialist these animals earns stability in life they live of basics that surround them however they are very different from pythons because pythons are generalists they favor change pythons can live where ever the climate is right and quickly adapt to it if you took a panda or koala out of it natural habitat they would most likely die on the other hand a python would prosper and build off life from there
5424,3,0,both panda's from china and koalas in australia eat constantly and there different from pythons because they do not eat as much species as a python does there also different because in paragraph 20 it says that pythons are generalist and pandas from china or koalas from australia aren't
5425,3,1,according to the article pandas in china eats nothing but bamboo and a koala in australia eats nothing but eucalyptus leaves they are similar because they both only eat one thing and they are specialists they are different from pythons because the article states that along with rafcons cockroachs and a white tailed deer is a generalist
5426,3,1,pandas in china are similar to koalas in australia are specialists meaning that they need to stay in their environment because they will not be able to find their land anywhere else they both differ from pythons because they can adapt in any new place with technological assistance they will be able to live anywhere in the world
5427,3,2,pandas are similar to koalal because specialist they mainly eat one food that keeps them alive in if they were moved then they would most likely die they are both different than a python because a python is a generalist it can live in many different regions in paragraph 15 it says that they have ability to inhabant 1 2 in the u s
5429,3,2,pandas in china are panda's in australia are similar because they are both specialists pythons are different because they are generalists unlike the specialists and things that and abundant to their locations the bamboo and eucalyptus generalists can eat anything mostly this means specialists have to stay in their natural habitat while generalists can move around and live anywhere
5430,3,2,pandas and koalas are both similar because they can only survive in certain areas as the author says china's panda which eats mostly but bamboo koala which eats eucalyptus both species are diffrent from the python though because they can't easily adapt the python can adapt and eat almost anything while the panda and koala can only eat one type of food
5431,3,1,panda in china are similar to koalas in australia because the pandas only eat one bamboo and the koalas eat eucalyptus leaves but the pythons are very different because they eat anything the pythons have eaten a wood rat and tried to eat an alligator but the python exploded i know this because it was said in the article in paragraph 21 about the china pandas and the australian kola bears and paragraph 11 and 14 about the pythons this means that the pandas and kola bears are not harmful but the pythons is harmful
5432,3,2,pandas in china are similar to koalas in australia because they're both speciaslists the two species only feed on particular foods found in their region and would not be able to adapt to different places both panadas and koalas are different from pythons because pythons are generalists and therefore able to survive in many different places and climates
5433,3,2,as stated in the article a specialist is china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively the python on the other hand is generalist it eats anything and lives almost anywhere koala's and pandas do not
5434,3,1,pandas in china and koalas in australia are similar because they are specialists that live off a certain food or habitat pandas and koalas are different from pythons because they are generalists and can live almost any where a generalist is a raccoon a python
5435,3,1,the pandas and koalas are similar to each other because the panda only eats bamboo and the koala only eats eucalyptus leaves the python eats several types of foods and can adapt better than the panda or koala
5436,3,1,panda from china are similar to koalas from australia because they are both example of specialist species they live where they do because that is where they can survive they are different from pythons because pythons are generalists which means they can live many places another example of generalists is humans who can live anywhere from florida to outer space
5437,3,0,pandas in china are similar to koalas in australia because panda in china eats almost nothing but bamboo and australia koala bear eat eucalyptus leaves there different because they eat plants and pythons eat animals
5438,3,1,pandas are similar to koalas because they're both bears they don't each much they don't do nothing etc they're both different from pythons because pythons are dangerous they would eat anything also they are faster than pandas and koalas
5439,3,1,in the article it says that panda bears mostly eat bamboo and koala's mainly eat eucalyptus leaves they are similar because they only eat o certain amount of food while snakes any pythons eat a lot of different things the article even said that a python tried to eat an alligator
5440,3,2,pandas in china are similar to koalas in australia because their both specialist and they both stick to one main food pandas rely on bamboo and koalas rely on eucalyptus leaves they are diff from pythons because pythons are all over the world while pandas and koalas are in one place also because a python is a snake and a generalists while pandas and koalas are not
5441,3,0,pandas in china are similar to koalas in australia because they are specialist for their countries they are both different from pythons because pythons are invasive species
5442,3,0,pandas in china are similar to koalas in australia are both similar because they don't eat anything but plants such as bamboo or eucalyptus leaves
5443,3,2,pandas in china are similar to koalas in australia because they both only eat spefic foods as the article said pandas eat almost nothing but bamboo and koala bears eat almost nothing but eucalyptus leaves they are different from pythons because unlike pythons mostly are restricted to live in one area but to their diet
5444,3,0,china's panda is different from australia's koala because panda's eats almost nothing but bamboo and koala 's eats eucalyptus leaves almost exclusively they are both different from a python because pythons are a tooth carrnivor's that are found in the canal's of cape coral who can reach seven feet in length
5445,3,0,pandas in china are similar to koalas in australia because their both some type of bear although the koala and panda are different from pythons because pythons are generalist with the assistance of technology they can live anywhere from florida to antarctica to outer space
5446,3,1,pythons can basically live anywhere from africa to florida but pandas in china and koalas in australia only eat certain foods that keeps them located in the same region a specialist is china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively
5447,3,1,the china panda and the koala are similar because they are both called specialists for eating only one thing in the article it says that the china panda is a specialists and it eats almost nothing but bamboo and it also says that the koala eats eucalyptus leaves almost exclusively they both have that in common
5448,3,2,both china's panda and australia's koala bear are both specialists what favors specialist is stability both animals live almost exclusively on a single food source bamboo and eucalyptus leaves respectively they are both different than pythons because pythons are generalists 'what generalists favor is change both the panda and koala bear eat an almost exclusive food source while pythons can eat a great variety from crocodiles to the key large wood rat
5449,3,1,china's panda and australia's koala bear are similar because they really don't each much they are both vegetarian in the article it says china's pandas eat almost nothing but bamboo and australia's koala bear eats eucalyptus leaves they are both different from pythons because pythons eat many of things a python in the everglades on 2005 was caught eating a alligator
5450,3,1,pandas in china are similar to koalas in australia in that they are specialist species because they only eat and can survive off of specific food bamboo and eucalyptus leaves pythons are different because they are a generalist species and survive in different parts of the world eating the different native animals that inhabit wherever they are
5451,3,2,pandas and koalas are similar because they're both specialist species they only eat a certain type of food in a specific area but pythons are generalist species and can adapt themselves to eat anything
5452,3,0,china's panda and australia's koala bear are both specialist they are both different from pythons because pythons are generalist it's also a invasive species
5453,3,1,pandas and koalas are both specialists because they can survive in very specific habitats they are different from pythons b c pythons are generalists who can live in many different habitats successfuly
5454,3,0,pandas in china are similar type koalas in australia because they both survive off of one main plant they are both different from pythons because a python would eat a panda or koala bear where the bears wouldn't harm any other animals
5455,3,1,pandas from china and koalas are similar because they stay mostly in the same place and eat the same thing they are different from pythons because pythons move around all over the world and will eat basically anything
5456,3,1,pandas in china and koalas in australia are not like pythons at all pandas only eat bamboo and koalas only eat eucalyptus leaves in the everglades in 2005 a python swallowed an alligator and exploded this shows that pythons will try to eat anything if their habitat is changed
5457,3,0,pandas are different from australia's like china's panda eats almost nothing but bamboo and koala in australia eats eucalyptus leaves almost exclusively
5458,3,2,pandas in china are similar to koalas in australia because they are both specialists china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalyptus leaves almost exclusively they both only eat a specific food pythons however eat a wide variety as foods including alligators pythons are also generalists which are more abundant compared to the pandas koalas
5459,3,2,pandas in china and koalas in australia are similar because they are both specialist they both only eat one food which is mainly found in their homelands so it would be hard for them food just anywhere else but pythons the articles says they are a different story as long as the climate is right they can adjust and find food
5460,3,1,pandas from china and koalas from australia are similar because because they both eat on specific food all the time such as pandas eat bamboo and koalas eat eucalyptus leaves these animals are both different from pythons because pythons can eat a wide variety of things such as mice to aligators as stated in the artical in paragraph sixteen
5461,3,0,pandas are similar speals to koalas and they are both different to pythons becase pythons are not mammals and pandas and koalsas are herbivores pythons are carnivores
5462,3,1,pandas in china are similar to koalas in australia because they're both specialist animals meaning they eat almost one thing for example pandas eat bamboo and koalas only eat eucalyptus leaves they are different from pythons because pythons are generalist species and can survive well almost anywhere
5463,3,1,pandas in china are similar to koalas in australia because their diets is plants while pythons diet is meat in paragraph 21 it says china's panda which eats almost nothing but bamboo or australia's koala bear which eats eucalptus leaves
5464,3,1,pandas and koalas are similar because they have one food in their entire diet and they're different from pythons because python can find food be it anything from a house cat to a dear
5465,3,0,chinas panda eats nothing but bamboo and as for koalas eat eucalyptusleaves
5466,3,0,the panda and koala are both specialist and they only eat one thing they are both different from the python because a python could eat anything from a mouse to deer and they move alotmore
5467,3,1,pandas and koalas are similar because they mostly eat one thing both animals eat plants in the article it says that pandas eat almost nothing but bamboo bamboo is a plant grown in japan koalas the article states eats eucalyptus almost exclusively another plant but grown from trees
